Kind,ttime (sec),Rate (MB/sec)
Send/Recv,1,0.000001,8.939505
Send/Recv,2,0.000001,17.637021
Send/Recv,4,0.000001,37.097216
Send/Recv,8,0.000001,73.262952
Send/Recv,16,0.000001,144.407794
Send/Recv,32,0.000001,291.982426
Send/Recv,64,0.000001,536.870912
Send/Recv,128,0.000001,846.894960
Send/Recv,256,0.000001,1392.962366
Send/Recv,512,0.000002,2290.649225
Send/Recv,1024,0.000003,2748.779069
Send/Recv,2048,0.000006,2545.165805
Send/Recv,4096,0.000013,2545.165805
Send/Recv,8192,0.000020,3252.992982
Send/Recv,16384,0.000036,3616.814565
Send/Recv,32768,0.000096,2718.199327
Send/Recv,65536,0.000192,2735.103552
Send/Recv,131072,0.000383,2734.253349
Send/Recv,262144,0.000760,2758.260590
Send/Recv,524288,0.001513,2772.606154
Send/Recv,1048576,0.003028,2770.204873
